Longitude,Latitude,Decennial Population Count
-73.9875459,40.7882256,34
-73.9898761,40.784976,0
-73.9935696,40.7799031,0
-73.9894323,40.7759854,906
-73.9781061,40.7535991,0
-73.9662444,40.8011197,841
-73.9631098,40.8014577,809
-73.9645371,40.7995006,977
-73.9650097,40.7988402,842
-73.9619536,40.8033673,1267
-73.9626738,40.8020776,1177
-73.9609916,40.8005649,465
-73.9614512,40.7999362,746
-73.9605667,40.8011834,504
-73.9624225,40.7986124,618
-73.9680624,40.7984895,614
-73.9658549,40.7926082,1667
-73.9647157,40.7954056,570
-73.9629077,40.7979513,542
-73.9633304,40.7948283,814
-73.9600301,40.7993392,737
-73.9720683,40.7672846,11
-73.9799594,40.7783505,1210
-73.9920703,40.7668463,1963
-73.9457272,40.776041,271
-73.9434928,40.8181362,462
-73.9540228,40.8127379,252
-73.9549588,40.808825,429
-73.9530912,40.8071563,27
-73.9516499,40.8066269,527
-73.9495881,40.8132585,531
-73.9418623,40.8356452,1501
-73.93848,40.8367076,662
-73.9381481,40.8290969,385
-73.9498236,40.8248894,1617
-73.9537246,40.8214949,11
-73.949104,40.8296021,602
-73.9448249,40.8277974,302
-73.9442822,40.8283962,457
-73.9451488,40.8196508,267
-73.9318663,40.8480803,250
-73.9415255,40.8406787,24
-73.9386431,40.8434094,116
-73.9302442,40.8728073,0
-73.9374142,40.8404795,668
-73.9895338,40.7550407,58
-73.9418377,40.8318882,507
-73.9375883,40.8513946,477
-73.9377711,40.8494533,785
-73.9382893,40.8457463,0
-73.9344003,40.8515366,407
-73.9315181,40.8511024,555
-73.9347012,40.846748,850
-73.960179,40.8174923,0
-73.9661629,40.805394,0
-73.9589119,40.814234,1196
-73.9597306,40.8071203,1086
-73.9089733,40.8764986,535
-73.9368156,40.8562545,740
-73.9465727,40.8011916,259
-73.9748309,40.7918915,126
-73.9831548,40.7831912,372
-73.9605936,40.8191848,0
-73.9614033,40.81834,0
-73.935342,40.8130104,0
-73.933121,40.8141258,0
-73.9351054,40.8317561,0
-73.943016,40.7781891,0
-73.9430804,40.7752235,0
-73.9606399,40.7595227,0
-73.9543148,40.7585585,0
-73.9541373,40.7571649,0
-73.9472954,40.7613967,0
-73.9674811,40.7503082,0
-73.9703115,40.7503067,966
-73.9689684,40.7521886,364
-73.9674702,40.7522444,0
-73.967258,40.7521485,0
-73.938371,40.8560049,178
-73.9686817,40.750352,0
-73.9453835,40.8007099,516
-73.9481952,40.801828,1083
-73.9401131,40.8493169,0
-73.9544395,40.8070352,173
-73.9399072,40.8493939,0
-73.9415629,40.8100134,293
-73.9419441,40.849556,0
-73.9377662,40.8448864,190
-73.9274779,40.8521577,194
-73.9476279,40.8073818,732
-73.952057,40.8051659,472
-73.947886,40.8157819,614
-73.9453672,40.8155678,418
-73.9458407,40.8149196,330
-74.0035292,40.7511168,462
-74.0070555,40.7506083,11
-73.9370696,40.8385777,524
-73.9409339,40.8336111,508
-73.9407298,40.8314171,537
-73.9384599,40.8345035,0
-73.93563,40.8429324,895
-73.9524639,40.8251732,787
-73.9540446,40.8233911,1181
-73.9529578,40.8221501,374
-73.9503691,40.8202212,1
-73.9487391,40.8302646,893
-73.9485123,40.824194,0
-73.9436665,40.8289502,361
-73.9435302,40.8272414,437
-73.9490077,40.8196442,0
-73.9465778,40.819448,211
-73.9520534,40.8142916,1058
-74.0004276,40.7604368,0
-73.9305428,40.8499134,860
-73.9403063,40.8432751,1057
-73.9399421,40.8403761,4
-73.9403702,40.839232,27
-73.9503959,40.8465614,0
-73.929643,40.8438995,0
-73.9390825,40.8404151,0
-73.9392486,40.8378441,449
-73.9890839,40.7556595,0
-73.9881239,40.7569717,0
-73.9423793,40.8308732,921
-73.9399295,40.8507843,642
-73.94165,40.8446621,663
-73.9391301,40.8467049,763
-73.9369072,40.8534469,1160
-73.9349537,40.8527687,349
-73.9351683,40.8503046,281
-73.9319523,40.8505078,527
-73.9340295,40.8476422,0
-73.933728,40.8455274,761
-73.9538521,40.8184598,705
-73.9650614,40.8071323,263
-73.9608649,40.8054386,200
-73.946612,40.7786484,1383
-73.9405846,40.8044119,298
-73.9436081,40.7973477,1974
-73.9540795,40.7858995,0
-73.951987,40.7858703,721
-73.9507691,40.7812228,1116
-73.9462907,40.7877813,1338
-73.9453046,40.7805561,1532
-73.9402247,40.8530878,1868
-73.9550492,40.7619812,0
-73.9286072,40.8725637,0
-73.9561469,40.7550667,426
-73.9643209,40.7626458,471
-73.9643025,40.754323,871
-73.9587971,40.7619559,1669
-73.9606152,40.7568476,966
-73.952761,40.8026397,6
-73.9518913,40.8000456,434
-73.9444726,40.8019453,526
-73.9574033,40.8223122,0
-73.9585125,40.776934,470
-73.9564401,40.7768902,534
-73.9611584,40.7704277,687
-73.9583543,40.7667513,1137
-73.9551223,40.7669845,1692
-73.9676133,40.7615767,79
-73.9426997,40.850861,0
-73.9660765,40.752176,0
-73.9636865,40.8156618,0
-73.9346503,40.8130629,0
-73.9765673,40.7528999,4
-73.9695081,40.7589768,368
-73.9592016,40.778884,148
-73.967183,40.7679432,334
-73.9655049,40.7731185,301
-73.9625883,40.7684623,411
-73.9339847,40.8168238,0
-73.968096,40.7666908,308
-73.9587374,40.7795177,329
-73.9785573,40.7751936,969
-73.9793335,40.763934,1273
-73.9775715,40.7508085,23
-73.9758766,40.7526253,40
-73.9749387,40.7538976,0
-73.973618,40.7533428,300
-73.9731625,40.7539685,11
-73.9716927,40.7525336,399
-73.9745306,40.7520908,497
-73.9750035,40.751441,17
-73.9730818,40.7506314,31
-73.9707835,40.7537843,315
-73.9698423,40.7509323,348
-73.9652532,40.7539085,605
-73.9273499,40.8567179,479
-73.9109775,40.8736848,0
-73.9247883,40.8717465,13
-73.9185919,40.8709548,425
-73.9179693,40.8662403,0
-73.9302089,40.8671212,246
-73.9288578,40.8661002,100
-73.9259133,40.8668336,773
-73.926978,40.8662337,493
-73.9253757,40.8683058,1089
-73.9290873,40.863843,699
-73.927069,40.864357,757
-73.9245734,40.8634936,1518
-73.9298026,40.8611756,709
-73.9299753,40.8601081,489
-73.9292322,40.8595119,1231
-73.9287091,40.8588978,1375
-73.9275877,40.8599524,0
-73.9275247,40.857382,229
-73.9191361,40.8599991,0
-73.9262868,40.8560966,604
-73.9247691,40.8677999,1078
-73.9237523,40.866194,973
-73.9228824,40.8684837,683
-73.9218614,40.8668819,578
-73.9839899,40.7634441,981
-73.9829984,40.7622112,317
-73.9850701,40.7556918,0
-73.9804137,40.7570255,320
-73.9560208,40.8179149,28
-73.9896819,40.7650224,923
-73.9886652,40.76132,1033
-73.9936271,40.7691459,27
-73.9837188,40.7824629,866
-73.9928352,40.7638945,0
-73.9919629,40.7618967,1129
-73.9892628,40.7707019,12
-73.9873828,40.7681787,1342
-73.9838746,40.7749314,459
-73.9807862,40.776964,1748
-73.9115503,40.8679688,0
-73.9145865,40.870651,0
-73.9202116,40.8674561,771
-73.923258,40.8612795,1124
-73.9319236,40.8546817,386
-73.9287114,40.85494,801
-73.9926998,40.7506196,10
-74.0011446,40.7542561,0
-74.0040756,40.755072,0
-73.9499329,40.8004222,1051
-73.9490102,40.7701945,727
-73.94934,40.7990102,421
-73.9653021,40.7973881,563
-73.976051,40.7767028,177
-73.9385127,40.8303761,2289
-73.9404306,40.8118331,863
-73.9769986,40.75314,30
-73.9352796,40.8277739,0
-73.9714211,40.7718292,0
-73.9621615,40.7551514,0
-73.9590804,40.7588382,0
-73.9328378,40.7941544,0
-73.9571464,40.7604893,0
-73.9487945,40.7689769,0
-73.9432102,40.822092,439
-73.9407436,40.821901,1010
